trial_id,domain,v_level,v_magnitude,psi_direction,model,repetition,ssc,ssc_p,sp,sp_p,tau_preservation,n_found,n_total,n_sentences,isc,isc_p,osd,ri,pd
S2_V2_practical_claude-sonnet_rep2,S2,V2,2,practical,claude-sonnet,2,0.3208,6e-06,-0.2601,0.268012,1.0,20,20,10,0.0,1.0,0.4026,0.9684,0.5387
S2_V2_practical_claude-sonnet_rep3,S2,V2,2,practical,claude-sonnet,3,0.1674,0.020961,-0.3,0.19877,1.0,20,20,21,0.3847,0.0,0.3522,0.7895,0.5756
S2_V2_practical_claude-sonnet_rep4,S2,V2,2,practical,claude-sonnet,4,0.4064,0.0,-0.4318,0.057306,1.0,20,20,9,0.0,1.0,0.4291,0.9053,0.5538
S2_V2_practical_gpt-4o_rep0,S2,V2,2,practical,gpt-4o,0,0.1179,0.105239,-0.3782,0.10017,0.5385,20,20,29,0.0421,0.564106,0.4311,0.6,0.504
S2_V2_practical_gpt-4o_rep1,S2,V2,2,practical,gpt-4o,1,0.438,0.0,-0.5501,0.011965,0.8462,20,20,25,0.5243,0.0,0.4776,0.8737,0.4851
S2_V2_practical_gpt-4o_rep2,S2,V2,2,practical,gpt-4o,2,0.2356,0.001065,-0.2876,0.21885,0.4615,20,20,32,0.1786,0.013661,0.3383,0.9895,0.5258
S2_V2_practical_gpt-4o_rep3,S2,V2,2,practical,gpt-4o,3,0.3807,0.0,-0.3582,0.120987,0.9615,20,20,25,0.6868,0.0,0.4903,0.9895,0.4404
S2_V2_practical_gpt-4o_rep4,S2,V2,2,practical,gpt-4o,4,0.3714,0.0,-0.307,0.188024,0.5769,20,20,22,0.4246,0.0,0.3788,0.7368,0.5251
S2_V2_historical_claude-sonnet_rep0,S2,V2,2,historical,claude-sonnet,0,0.0,1.0,0.0,1.0,1.0,20,20,5,0.0,1.0,0.5559,0.5895,0.5719
S2_V2_historical_claude-sonnet_rep1,S2,V2,2,historical,claude-sonnet,1,0.0,1.0,0.0,1.0,1.0,20,20,7,0.0,1.0,0.4856,0.8632,0.6086
S2_V2_historical_claude-sonnet_rep2,S2,V2,2,historical,claude-sonnet,2,0.0,1.0,0.0,1.0,1.0,20,20,5,0.0,1.0,0.5101,0.8211,0.5117
S2_V2_historical_claude-sonnet_rep3,S2,V2,2,historical,claude-sonnet,3,0.1528,0.035319,0.1378,0.562233,0.7308,20,20,25,0.3871,0.0,0.4521,0.9684,0.5813
S2_V2_historical_claude-sonnet_rep4,S2,V2,2,historical,claude-sonnet,4,0.1042,0.152647,0.0415,0.862004,1.0,20,20,31,0.2414,0.000792,0.4698,0.7053,0.6414
S2_V2_historical_gpt-4o_rep0,S2,V2,2,historical,gpt-4o,0,0.4462,0.0,-0.456,0.043329,0.8077,20,20,44,0.4472,0.0,0.5321,0.9158,0.476
S2_V2_historical_gpt-4o_rep1,S2,V2,2,historical,gpt-4o,1,0.2445,0.000675,-0.4091,0.0733,0.8077,20,20,43,0.418,0.0,0.5325,0.9684,0.4423
S2_V2_historical_gpt-4o_rep2,S2,V2,2,historical,gpt-4o,2,0.2602,0.000288,-0.1943,0.411658,0.6538,20,20,42,0.4874,0.0,0.5473,0.6105,0.5416
S2_V2_historical_gpt-4o_rep3,S2,V2,2,historical,gpt-4o,3,0.2567,0.00035,-0.2023,0.392429,0.7308,20,20,42,0.5221,0.0,0.5273,0.8737,0.5068
S2_V2_historical_gpt-4o_rep4,S2,V2,2,historical,gpt-4o,4,0.3697,0.0,-0.4212,0.064403,0.6923,20,20,43,0.2838,7.2e-05,0.5174,0.4737,0.4481
S2_V2_formal_claude-sonnet_rep0,S2,V2,2,formal,claude-sonnet,0,0.2503,0.000495,-0.4543,0.044194,0.9231,19,20,20,0.8057,0.0,0.4633,0.7579,0.5161
S2_V2_formal_claude-sonnet_rep1,S2,V2,2,formal,claude-sonnet,1,0.2927,4.2e-05,-0.5614,0.010007,1.0,20,20,10,0.8497,0.0,0.5627,0.9474,0.5669
S2_V2_formal_claude-sonnet_rep2,S2,V2,2,formal,claude-sonnet,2,0.0,1.0,0.0,1.0,1.0,20,20,18,0.0,1.0,0.3261,0.9789,0.4333
S2_V2_formal_claude-sonnet_rep3,S2,V2,2,formal,claude-sonnet,3,0.157,0.030537,-0.4142,0.069428,1.0,20,20,17,0.0,1.0,0.2659,0.8316,0.5652
S2_V2_formal_claude-sonnet_rep4,S2,V2,2,formal,claude-sonnet,4,0.3778,0.0,-0.182,0.442396,1.0,20,20,21,0.3148,1e-05,0.3668,0.9789,0.582
S2_V2_formal_gpt-4o_rep0,S2,V2,2,formal,gpt-4o,0,0.0,1.0,0.0,1.0,1.0,20,20,30,0.0,1.0,0.5074,0.8526,0.4534
S2_V2_formal_gpt-4o_rep1,S2,V2,2,formal,gpt-4o,1,0.0,1.0,0.0,1.0,1.0,20,20,21,0.0,1.0,0.496,0.9053,0.4547
S2_V2_formal_gpt-4o_rep2,S2,V2,2,formal,gpt-4o,2,0.0,1.0,0.0,1.0,1.0,20,20,17,0.0,1.0,0.5358,0.9895,0.4551
S2_V2_formal_gpt-4o_rep3,S2,V2,2,formal,gpt-4o,3,0.0,1.0,0.0,1.0,1.0,20,20,28,0.0,1.0,0.5147,0.9263,0.394
S2_V2_formal_gpt-4o_rep4,S2,V2,2,formal,gpt-4o,4,0.0,1.0,0.0,1.0,1.0,20,20,25,0.0,1.0,0.5531,1.0,0.4791
S2_V3_causal_claude-sonnet_rep0,S2,V3,3,causal,claude-sonnet,0,0.3984,0.0,-0.2639,0.260846,0.9615,20,20,43,0.553,0.0,0.5306,0.8105,0.3774
S2_V3_causal_claude-sonnet_rep1,S2,V3,3,causal,claude-sonnet,1,0.1359,0.06163,-0.2802,0.231446,0.8462,20,20,33,0.3861,0.0,0.5072,0.8105,0.4698
S2_V3_causal_claude-sonnet_rep2,S2,V3,3,causal,claude-sonnet,2,0.44,0.0,-0.3881,0.090845,0.9615,20,20,38,0.4764,0.0,0.512,0.9053,0.432
S2_V3_causal_claude-sonnet_rep3,S2,V3,3,causal,claude-sonnet,3,0.2611,0.000274,-0.2738,0.242746,0.7308,16,20,40,0.5365,0.0,0.4915,0.9368,0.3541
S2_V3_causal_claude-sonnet_rep4,S2,V3,3,causal,claude-sonnet,4,0.2545,0.000395,-0.1045,0.660922,0.9231,19,20,37,0.3676,1e-06,0.4799,0.7474,0.3423
S2_V3_causal_gpt-4o_rep0,S2,V3,3,causal,gpt-4o,0,0.3191,7e-06,-0.5405,0.013873,1.0,20,20,47,0.4394,0.0,0.5881,0.9368,0.3209
S2_V3_causal_gpt-4o_rep1,S2,V3,3,causal,gpt-4o,1,0.471,0.0,-0.3528,0.127089,0.8462,20,20,48,0.5602,0.0,0.6113,0.8737,0.3586
S2_V3_causal_gpt-4o_rep2,S2,V3,3,causal,gpt-4o,2,0.444,0.0,-0.3789,0.099467,1.0,20,20,50,0.5766,0.0,0.5702,0.9789,0.2609
S2_V3_causal_gpt-4o_rep3,S2,V3,3,causal,gpt-4o,3,0.4657,0.0,-0.3701,0.108269,0.9231,20,20,52,0.5372,0.0,0.613,0.7895,0.3029
S2_V3_causal_gpt-4o_rep4,S2,V3,3,causal,gpt-4o,4,0.4863,0.0,-0.4802,0.032113,0.9615,20,20,45,0.6169,0.0,0.5862,0.9053,0.3033
S2_V3_practical_claude-sonnet_rep0,S2,V3,3,practical,claude-sonnet,0,0.3923,0.0,-0.2856,0.222207,0.3846,16,20,31,0.5178,0.0,0.4102,0.5579,0.4181
S2_V3_practical_claude-sonnet_rep1,S2,V3,3,practical,claude-sonnet,1,0.2894,5.1e-05,-0.3111,0.181875,0.3846,17,20,31,0.6444,0.0,0.3465,0.6421,0.4804
S2_V3_practical_claude-sonnet_rep2,S2,V3,3,practical,claude-sonnet,2,0.2494,0.000521,-0.1868,0.430267,0.7692,18,20,44,0.3414,0.000136,0.3002,0.7158,0.5092
S2_V3_practical_claude-sonnet_rep3,S2,V3,3,practical,claude-sonnet,3,0.2618,0.000264,-0.3799,0.098539,0.4231,13,20,26,0.7,0.0,0.4241,0.7895,0.3704
S2_V3_practical_claude-sonnet_rep4,S2,V3,3,practical,claude-sonnet,4,0.2638,0.000235,0.0263,0.912272,0.8077,17,20,36,0.2416,0.0046,0.4293,0.9053,0.4204
S2_V3_practical_gpt-4o_rep0,S2,V3,3,practical,gpt-4o,0,0.1563,0.031332,-0.1558,0.511781,0.7308,19,20,31,0.5012,0.0,0.402,0.8737,0.5213
S2_V3_practical_gpt-4o_rep1,S2,V3,3,practical,gpt-4o,1,0.1958,0.006795,-0.0682,0.775225,0.3846,16,20,29,0.1235,0.179151,0.4,0.8,0.5638
S2_V3_practical_gpt-4o_rep2,S2,V3,3,practical,gpt-4o,2,0.3123,1.2e-05,-0.2411,0.305859,0.5769,19,20,24,0.7516,0.0,0.3598,0.8737,0.3875
S2_V3_practical_gpt-4o_rep3,S2,V3,3,practical,gpt-4o,3,0.2258,0.001735,-0.417,0.067342,1.0,20,20,41,0.1109,0.127523,0.4525,0.8211,0.4625
S2_V3_practical_gpt-4o_rep4,S2,V3,3,practical,gpt-4o,4,0.4147,0.0,-0.5455,0.012858,0.6538,20,20,28,0.5829,0.0,0.4565,0.7684,0.4404
S2_V3_historical_claude-sonnet_rep0,S2,V3,3,historical,claude-sonnet,0,0.2293,0.001461,-0.1676,0.480138,0.7308,20,20,44,0.2328,0.001228,0.4037,0.8,0.4564
S2_V3_historical_claude-sonnet_rep1,S2,V3,3,historical,claude-sonnet,1,0.3118,1.2e-05,-0.3534,0.126428,0.5,18,20,52,0.2086,0.009674,0.423,0.9789,0.5861
S2_V3_historical_claude-sonnet_rep2,S2,V3,3,historical,claude-sonnet,2,0.2463,0.000614,-0.1317,0.579969,0.8462,20,20,45,0.3737,0.0,0.4361,0.7053,0.6768
S2_V3_historical_claude-sonnet_rep3,S2,V3,3,historical,claude-sonnet,3,0.3559,0.0,-0.4338,0.056036,0.9615,20,20,36,0.3963,0.0,0.4757,0.9368,0.4888
S2_V3_historical_claude-sonnet_rep4,S2,V3,3,historical,claude-sonnet,4,0.4476,0.0,-0.4532,0.044753,0.9615,20,20,34,0.125,0.085649,0.436,0.8737,0.479
S2_V3_historical_gpt-4o_rep0,S2,V3,3,historical,gpt-4o,0,0.3968,0.0,-0.4269,0.060492,0.8077,20,20,28,0.5529,0.0,0.4974,0.7789,0.3037
S2_V3_historical_gpt-4o_rep1,S2,V3,3,historical,gpt-4o,1,0.3166,9e-06,-0.46,0.041264,1.0,20,20,37,0.3113,1.2e-05,0.4964,0.6632,0.3857
S2_V3_historical_gpt-4o_rep2,S2,V3,3,historical,gpt-4o,2,0.4125,0.0,-0.4012,0.079556,0.7692,20,20,38,0.4963,0.0,0.5675,0.8632,0.2759
S2_V3_historical_gpt-4o_rep3,S2,V3,3,historical,gpt-4o,3,0.3249,5e-06,-0.4548,0.043937,0.8846,20,20,41,0.4359,0.0,0.545,0.8211,0.3223
S2_V3_historical_gpt-4o_rep4,S2,V3,3,historical,gpt-4o,4,0.3946,0.0,-0.4281,0.0597,0.9615,20,20,47,0.4651,0.0,0.4896,0.8526,0.3053
S2_V3_formal_claude-sonnet_rep0,S2,V3,3,formal,claude-sonnet,0,0.4371,0.0,-0.3342,0.149763,0.9615,20,20,35,0.5011,0.0,0.4227,0.9474,0.4386
S2_V3_formal_claude-sonnet_rep1,S2,V3,3,formal,claude-sonnet,1,0.1898,0.008731,-0.295,0.206653,1.0,20,20,33,0.5354,0.0,0.4162,0.9684,0.5074
S2_V3_formal_claude-sonnet_rep2,S2,V3,3,formal,claude-sonnet,2,0.2387,0.000909,-0.295,0.206653,0.8077,17,20,29,0.8659,0.0,0.4134,0.5474,0.4757
S2_V3_formal_claude-sonnet_rep3,S2,V3,3,formal,claude-sonnet,3,0.288,5.6e-05,-0.3213,0.167236,0.7308,20,20,22,0.4409,0.0,0.4208,0.9053,0.4312
S2_V3_formal_claude-sonnet_rep4,S2,V3,3,formal,claude-sonnet,4,0.278,0.000103,-0.4304,0.058208,1.0,20,20,32,0.2224,0.002044,0.3569,0.9263,0.388
S2_V3_formal_gpt-4o_rep0,S2,V3,3,formal,gpt-4o,0,0.4567,0.0,-0.251,0.28569,0.9231,19,20,30,0.5732,0.0,0.5112,0.9684,0.3608
S2_V3_formal_gpt-4o_rep1,S2,V3,3,formal,gpt-4o,1,0.3586,0.0,-0.4069,0.07498,0.9615,20,20,35,0.3931,0.0,0.5271,0.9684,0.4527
S2_V3_formal_gpt-4o_rep2,S2,V3,3,formal,gpt-4o,2,0.4363,0.0,-0.3087,0.185435,0.9231,20,20,30,0.5714,0.0,0.5608,0.8737,0.3607
S2_V3_formal_gpt-4o_rep3,S2,V3,3,formal,gpt-4o,3,0.2294,0.001451,-0.2374,0.313634,0.9615,20,20,31,0.2978,3e-05,0.5438,0.9789,0.3776
S2_V3_formal_gpt-4o_rep4,S2,V3,3,formal,gpt-4o,4,0.4699,0.0,-0.1355,0.569003,1.0,20,20,26,0.4993,0.0,0.4917,0.9263,0.3776
S3_V0_none_claude-sonnet_rep0,S3,V0,0,none,claude-sonnet,0,-0.0504,0.490112,0.1723,0.467498,1.0,20,20,41,0.033,0.650948,0.273,0.0,0.0
S3_V0_none_claude-sonnet_rep1,S3,V0,0,none,claude-sonnet,1,-0.0858,0.239316,-0.0582,0.807438,1.0,20,20,41,-0.0321,0.660134,0.2481,0.0,0.0
S3_V0_none_claude-sonnet_rep2,S3,V0,0,none,claude-sonnet,2,-0.0338,0.643766,0.2903,0.214454,1.0,20,20,41,-0.0944,0.19529,0.238,0.0,0.0
S3_V0_none_claude-sonnet_rep3,S3,V0,0,none,claude-sonnet,3,-0.026,0.721978,-0.0253,0.915577,1.0,20,20,41,0.0667,0.360508,0.2459,0.0737,0.0
S3_V0_none_claude-sonnet_rep4,S3,V0,0,none,claude-sonnet,4,-0.109,0.134361,-0.1017,0.669634,1.0,20,20,41,-0.0212,0.771812,0.2133,0.0632,0.0
S3_V0_none_gpt-4o_rep0,S3,V0,0,none,gpt-4o,0,-0.0076,0.916895,-0.2265,0.336987,1.0,20,20,41,0.1058,0.146297,0.243,0.0842,0.0
S3_V0_none_gpt-4o_rep1,S3,V0,0,none,gpt-4o,1,0.0105,0.885225,0.1864,0.431382,1.0,20,20,41,-0.021,0.773333,0.2244,0.1053,0.0
S3_V0_none_gpt-4o_rep2,S3,V0,0,none,gpt-4o,2,0.0746,0.306335,-0.0314,0.895512,1.0,20,20,41,-0.0755,0.300618,0.2069,0.0737,0.0
S3_V0_none_gpt-4o_rep3,S3,V0,0,none,gpt-4o,3,-0.0609,0.40358,0.1221,0.608026,1.0,20,20,41,-0.0484,0.507499,0.2242,0.0526,0.0
S3_V0_none_gpt-4o_rep4,S3,V0,0,none,gpt-4o,4,0.0232,0.751141,-0.0533,0.823371,1.0,20,20,41,0.0346,0.635674,0.2464,0.0632,0.0
S3_V1_none_claude-sonnet_rep0,S3,V1,1,none,claude-sonnet,0,0.2356,0.001064,-0.3495,0.130953,0.7407,19,20,25,0.2902,0.000118,0.4302,0.9368,0.0
S3_V1_none_claude-sonnet_rep1,S3,V1,1,none,claude-sonnet,1,0.2952,3.5e-05,0.0015,0.994942,0.6296,17,20,25,0.405,1e-06,0.4289,0.8737,0.0
S3_V1_none_claude-sonnet_rep2,S3,V1,1,none,claude-sonnet,2,0.2096,0.003701,-0.2816,0.229044,0.7407,19,20,25,0.1597,0.036963,0.4096,0.8105,0.0
S3_V1_none_claude-sonnet_rep3,S3,V1,1,none,claude-sonnet,3,0.1672,0.021146,-0.1748,0.461055,0.4815,18,20,21,0.2425,0.002528,0.4024,0.8947,0.0
S3_V1_none_claude-sonnet_rep4,S3,V1,1,none,claude-sonnet,4,0.2649,0.000222,-0.2443,0.299196,0.7037,18,20,24,0.2899,0.000278,0.4479,0.7158,0.0
S3_V1_none_gpt-4o_rep0,S3,V1,1,none,gpt-4o,0,0.3515,1e-06,0.1407,0.553964,0.8889,19,20,14,0.5396,0.0,0.4943,0.9263,0.0
S3_V1_none_gpt-4o_rep1,S3,V1,1,none,gpt-4o,1,0.5389,0.0,-0.0281,0.906228,0.9259,19,20,14,0.546,0.0,0.4064,0.7684,0.0
S3_V1_none_gpt-4o_rep2,S3,V1,1,none,gpt-4o,2,0.2961,3.4e-05,-0.0258,0.914064,0.8889,19,20,14,0.388,0.0,0.3886,0.8421,0.0
S3_V1_none_gpt-4o_rep3,S3,V1,1,none,gpt-4o,3,0.2662,0.000205,-0.1996,0.398784,0.6667,19,20,17,0.3489,3e-06,0.4402,0.8737,0.0
S3_V1_none_gpt-4o_rep4,S3,V1,1,none,gpt-4o,4,0.2318,0.001293,-0.0038,0.987345,0.8148,18,20,17,0.3271,3.7e-05,0.4213,0.9579,0.0
S3_V2_causal_claude-sonnet_rep0,S3,V2,2,causal,claude-sonnet,0,0.0631,0.386944,-0.3219,0.16638,0.9259,19,20,10,0.8265,0.0,0.4124,0.8947,0.4124
S3_V2_causal_claude-sonnet_rep1,S3,V2,2,causal,claude-sonnet,1,0.2099,0.003656,-0.1389,0.559318,0.963,20,20,11,0.0,1.0,0.0,0.9053,0.4017
S3_V2_causal_claude-sonnet_rep2,S3,V2,2,causal,claude-sonnet,2,0.0688,0.34538,-0.5836,0.006903,1.0,20,20,10,0.9788,0.0,0.3328,0.9789,0.432
S3_V2_causal_claude-sonnet_rep3,S3,V2,2,causal,claude-sonnet,3,0.0527,0.470479,-0.2549,0.278082,1.0,20,20,11,0.5679,0.0,0.3755,0.7579,0.375
S3_V2_causal_claude-sonnet_rep4,S3,V2,2,causal,claude-sonnet,4,0.228,0.001557,-0.142,0.550289,1.0,20,20,18,0.7286,0.0,0.3324,0.7368,0.3906
S3_V2_causal_gpt-4o_rep0,S3,V2,2,causal,gpt-4o,0,0.3414,1e-06,-0.1467,0.537139,0.9259,19,20,61,0.1402,0.067403,0.3753,1.0,0.4048
S3_V2_causal_gpt-4o_rep1,S3,V2,2,causal,gpt-4o,1,0.1974,0.006329,-0.4223,0.063625,1.0,20,20,70,-0.0285,0.695851,0.3417,0.9474,0.3713
S3_V2_causal_gpt-4o_rep2,S3,V2,2,causal,gpt-4o,2,0.2598,0.000294,-0.1242,0.601889,0.8889,20,20,36,0.3097,1.4e-05,0.3895,0.6947,0.3229
S3_V2_causal_gpt-4o_rep3,S3,V2,2,causal,gpt-4o,3,0.2781,0.000102,-0.224,0.342442,0.9259,20,20,45,0.196,0.006732,0.3793,0.8842,0.3863
S3_V2_causal_gpt-4o_rep4,S3,V2,2,causal,gpt-4o,4,0.3279,4e-06,-0.3764,0.101874,1.0,20,20,74,0.0715,0.326714,0.3841,0.9579,0.405
S3_V2_practical_claude-sonnet_rep0,S3,V2,2,practical,claude-sonnet,0,0.5038,0.0,0.0706,0.767368,0.7037,20,20,21,0.9506,0.0,0.2615,0.8632,0.502
S3_V2_practical_claude-sonnet_rep1,S3,V2,2,practical,claude-sonnet,1,0.4035,0.0,-0.2595,0.269212,0.9259,20,20,17,0.6023,0.0,0.3331,0.9684,0.4396
S3_V2_practical_claude-sonnet_rep2,S3,V2,2,practical,claude-sonnet,2,0.4384,0.0,-0.2079,0.379169,1.0,20,20,15,0.0,1.0,0.3089,0.9895,0.4642
S3_V2_practical_claude-sonnet_rep3,S3,V2,2,practical,claude-sonnet,3,0.2526,0.000437,-0.4209,0.06458,0.963,20,20,24,0.0,1.0,0.3029,0.9684,0.4336
S3_V2_practical_claude-sonnet_rep4,S3,V2,2,practical,claude-sonnet,4,0.0868,0.233924,-0.0162,0.946104,0.7778,20,20,19,0.0,1.0,0.3077,0.8316,0.5097
S3_V2_practical_gpt-4o_rep0,S3,V2,2,practical,gpt-4o,0,0.1517,0.036647,0.0597,0.802529,0.2963,20,20,32,0.1316,0.07035,0.3088,0.6632,0.4426
S3_V2_practical_gpt-4o_rep1,S3,V2,2,practical,gpt-4o,1,0.2753,0.000121,0.0794,0.739431,0.2963,20,20,43,0.2404,0.000836,0.2941,0.7579,0.4257
S3_V2_practical_gpt-4o_rep2,S3,V2,2,practical,gpt-4o,2,0.5963,0.0,-0.0072,0.976022,0.5185,20,20,24,0.2629,0.000248,0.3863,0.8316,0.3839
S3_V2_practical_gpt-4o_rep3,S3,V2,2,practical,gpt-4o,3,0.3885,0.0,0.0132,0.955844,0.1111,19,20,59,0.3094,3.8e-05,0.3888,0.9684,0.4065
S3_V2_practical_gpt-4o_rep4,S3,V2,2,practical,gpt-4o,4,0.6445,0.0,-0.2509,0.286066,0.8148,20,20,67,0.1914,0.00815,0.3527,0.9158,0.4384
S3_V2_historical_claude-sonnet_rep0,S3,V2,2,historical,claude-sonnet,0,0.1942,0.007259,-0.707,0.000491,0.3333,20,20,27,0.3093,1.4e-05,0.3642,0.8,0.4364
S3_V2_historical_claude-sonnet_rep1,S3,V2,2,historical,claude-sonnet,1,0.1354,0.062518,-0.7876,3.8e-05,0.3704,20,20,46,0.3168,8e-06,0.3308,0.9789,0.5581
S3_V2_historical_claude-sonnet_rep2,S3,V2,2,historical,claude-sonnet,2,0.0,1.0,0.0,1.0,1.0,20,20,8,0.0,1.0,0.3584,0.9789,0.5017
S3_V2_historical_claude-sonnet_rep3,S3,V2,2,historical,claude-sonnet,3,0.3051,1.9e-05,-0.6579,0.001618,0.963,20,20,27,0.9874,0.0,0.3217,0.8,0.4774
S3_V2_historical_claude-sonnet_rep4,S3,V2,2,historical,claude-sonnet,4,0.1806,0.012624,-0.5223,0.018154,0.4444,19,20,46,0.3037,5.4e-05,0.3044,0.8526,0.4657
S3_V2_historical_gpt-4o_rep0,S3,V2,2,historical,gpt-4o,0,0.281,8.6e-05,-0.341,0.141144,1.0,20,20,43,0.2962,3.3e-05,0.4431,0.9579,0.3658
S3_V2_historical_gpt-4o_rep1,S3,V2,2,historical,gpt-4o,1,0.3385,2e-06,-0.3771,0.101178,0.6667,20,20,42,0.2752,0.000121,0.4405,0.9474,0.3356
S3_V2_historical_gpt-4o_rep2,S3,V2,2,historical,gpt-4o,2,0.2506,0.000488,-0.2756,0.23952,0.9259,20,20,58,0.2933,4e-05,0.4486,0.9789,0.3143
S3_V2_historical_gpt-4o_rep3,S3,V2,2,historical,gpt-4o,3,0.3087,1.5e-05,-0.5609,0.01008,0.7407,20,20,42,0.2628,0.00025,0.3905,0.9368,0.3404
S3_V2_historical_gpt-4o_rep4,S3,V2,2,historical,gpt-4o,4,0.3226,6e-06,-0.3166,0.17376,0.9259,20,20,42,0.4557,0.0,0.4704,0.9368,0.3706
S3_V2_formal_claude-sonnet_rep0,S3,V2,2,formal,claude-sonnet,0,-0.0417,0.5681,0.1157,0.627008,1.0,20,20,18,0.6677,0.0,0.4114,0.9684,0.4832
S3_V2_formal_claude-sonnet_rep1,S3,V2,2,formal,claude-sonnet,1,0.0,1.0,0.0,1.0,1.0,20,20,17,0.0,1.0,0.3461,0.7263,0.5716
S3_V2_formal_claude-sonnet_rep2,S3,V2,2,formal,claude-sonnet,2,0.0393,0.589943,0.3028,0.194421,1.0,20,20,21,0.8802,0.0,0.3917,0.9158,0.5302
S3_V2_formal_claude-sonnet_rep3,S3,V2,2,formal,claude-sonnet,3,0.0,1.0,0.0,1.0,1.0,20,20,22,0.0,1.0,0.3586,0.8526,0.4293
S3_V2_formal_claude-sonnet_rep4,S3,V2,2,formal,claude-sonnet,4,-0.0669,0.35919,0.3995,0.080995,1.0,20,20,15,0.0,1.0,0.2524,0.8316,0.5236
S3_V2_formal_gpt-4o_rep0,S3,V2,2,formal,gpt-4o,0,0.0,1.0,0.0,1.0,1.0,20,20,24,0.0,1.0,0.423,0.5789,0.4304
S3_V2_formal_gpt-4o_rep1,S3,V2,2,formal,gpt-4o,1,0.0,1.0,0.0,1.0,1.0,20,20,29,0.0,1.0,0.3909,0.8105,0.4148
S3_V2_formal_gpt-4o_rep2,S3,V2,2,formal,gpt-4o,2,0.2083,0.003935,-0.3948,0.084933,0.963,20,20,36,0.2688,0.000177,0.3559,0.9053,0.4791
S3_V2_formal_gpt-4o_rep3,S3,V2,2,formal,gpt-4o,3,0.2021,0.005179,-0.3948,0.084933,1.0,20,20,35,0.2456,0.000637,0.3192,0.7684,0.4708
S3_V2_formal_gpt-4o_rep4,S3,V2,2,formal,gpt-4o,4,0.1752,0.015608,-0.3948,0.084933,1.0,20,20,41,0.1967,0.006516,0.3749,0.9789,0.4485
S3_V3_causal_claude-sonnet_rep0,S3,V3,3,causal,claude-sonnet,0,0.2349,0.001108,-0.2495,0.288707,0.9259,20,20,34,0.0724,0.320604,0.3659,0.8947,0.3683
S3_V3_causal_claude-sonnet_rep1,S3,V3,3,causal,claude-sonnet,1,0.272,0.000147,-0.1781,0.452484,0.7407,17,20,38,0.4547,0.0,0.3638,0.9789,0.3368
S3_V3_causal_claude-sonnet_rep2,S3,V3,3,causal,claude-sonnet,2,0.1851,0.010552,-0.1166,0.62432,1.0,20,20,21,0.2755,0.00012,0.354,0.7579,0.3036
S3_V3_causal_claude-sonnet_rep3,S3,V3,3,causal,claude-sonnet,3,0.2469,0.000594,-0.1383,0.561017,0.6296,16,20,22,0.5007,0.0,0.3825,0.7789,0.3289
S3_V3_causal_claude-sonnet_rep4,S3,V3,3,causal,claude-sonnet,4,0.2474,0.000579,-0.1341,0.57309,0.9259,19,20,33,0.3632,1e-06,0.3681,0.9789,0.3703
S3_V3_causal_gpt-4o_rep0,S3,V3,3,causal,gpt-4o,0,0.2018,0.005243,-0.235,0.318587,0.963,20,20,25,0.4442,0.0,0.4335,0.8737,0.3374
S3_V3_causal_gpt-4o_rep1,S3,V3,3,causal,gpt-4o,1,0.2985,2.9e-05,-0.2178,0.356207,0.963,20,20,32,0.3181,8e-06,0.4288,0.9368,0.2501
